id,type,age_group,internet_control,knows_facebook_age_req,aware_of_child_cyberbullying,concerns_about_device_use,digital_literacy,communicates_about_safety,child_age_group
P0349,Parent,35-44,Yes,False,No,None,Medium,True,13-17
P0350,Parent,35-44,Want to but struggle,True,No,None,Low,False,13-17
P0351,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Medium,True,13-17
P0352,Parent,45-54,Want to but struggle,True,No,None,Medium,False,13-17
P0353,Parent,25-34,Yes,True,Unsure,Academic Performance; Aggression,Medium,True,13-17
P0354,Parent,45-54,Want to but struggle,True,No,Aggression,Low,True,13-17
P0355,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,True,13-17
P0356,Parent,25-34,Want to but struggle,False,No,Insomnia; Academic Performance; Depression,Medium,False,9-12
P0357,Parent,45-54,Want to but struggle,True,No,Insomnia,Low,False,13-17
P0358,Parent,35-44,Want to but struggle,True,Yes,Depression; Eating Disorders,Low,False,9-12
P0359,Parent,35-44,Want to but struggle,False,Unsure,Insomnia; Academic Performance; Depression; Eating Disorders,Medium,True,13-17
P0360,Parent,45-54,No,False,Unsure,Academic Performance; Aggression,Medium,True,13-17
P0361,Parent,35-44,Yes,True,Unsure,Academic Performance,High,False,13-17
P0362,Parent,45-54,Want to but struggle,True,Unsure,Eating Disorders,Low,False,13-17
P0363,Parent,25-34,Yes,True,No,Insomnia,Medium,True,13-17
P0364,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance,Medium,False,13-17
P0365,Parent,25-34,Yes,True,Unsure,Academic Performance,Medium,False,13-17
P0366,Parent,45-54,Yes,True,Yes,Insomnia,Medium,False,9-12
P0367,Parent,35-44,No,False,No,Insomnia; Academic Performance; Aggression,Medium,True,9-12
P0368,Parent,35-44,Yes,False,No,Insomnia; Depression,Medium,True,13-17
P0369,Parent,35-44,Yes,True,No,Academic Performance; Aggression,High,True,13-17
P0370,Parent,35-44,Yes,True,No,Eating Disorders,Medium,False,9-12
P0371,Parent,25-34,Yes,True,No,None,High,True,13-17
P0372,Parent,35-44,Yes,True,No,Insomnia; Aggression,High,True,13-17
P0373,Parent,25-34,Yes,True,Unsure,None,High,False,9-12
P0374,Parent,35-44,Yes,False,Unsure,Insomnia,Medium,True,13-17
P0375,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,Medium,True,13-17
P0376,Parent,35-44,Yes,False,No,None,Low,False,13-17
P0377,Parent,35-44,Yes,False,No,Academic Performance,Low,False,9-12
P0378,Parent,35-44,Want to but struggle,False,No,None,Medium,False,13-17
P0379,Parent,45-54,Want to but struggle,False,No,None,Low,True,13-17
P0380,Parent,45-54,Yes,True,Unsure,None,High,False,13-17
P0381,Parent,45-54,Yes,True,No,Insomnia; Academic Performance,Medium,False,9-12
P0382,Parent,45-54,Yes,True,Unsure,Eating Disorders,High,False,13-17
P0383,Parent,45-54,Yes,True,Unsure,None,Medium,True,13-17
P0384,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Medium,True,9-12
P0385,Parent,35-44,Yes,False,No,Academic Performance,Low,False,9-12
P0386,Parent,35-44,No,False,No,Insomnia; Depression,Medium,True,13-17
P0387,Parent,35-44,Yes,True,No,Eating Disorders,High,False,9-12
P0388,Parent,45-54,Want to but struggle,True,No,None,Low,False,9-12
P0389,Parent,35-44,Yes,False,No,None,Medium,False,9-12
P0390,Parent,35-44,No,True,No,Insomnia; Eating Disorders; Aggression,Low,True,9-12
P0391,Parent,45-54,Yes,False,No,None,Low,False,13-17
P0392,Parent,55+,Yes,False,Unsure,Insomnia,Low,False,13-17
P0393,Parent,25-34,Yes,False,No,Insomnia,Low,True,13-17
P0394,Parent,45-54,Want to but struggle,True,No,None,Medium,False,13-17
P0395,Parent,45-54,Yes,False,No,Academic Performance; Eating Disorders,Low,False,13-17
P0396,Parent,45-54,Want to but struggle,False,No,Insomnia,Low,False,13-17
P0397,Parent,25-34,Yes,False,No,Insomnia; Depression,Medium,False,13-17
P0398,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Low,True,13-17
P0399,Parent,45-54,Yes,True,No,Eating Disorders,High,False,9-12
P0400,Parent,35-44,Yes,True,No,Depression,High,True,13-17
P0401,Parent,35-44,Yes,True,No,Insomnia,High,False,13-17
P0402,Parent,25-34,Yes,True,No,Aggression,Medium,False,9-12
P0403,Parent,35-44,Yes,True,No,Academic Performance,High,True,13-17
P0404,Parent,45-54,Want to but struggle,True,Unsure,Depression; Eating Disorders,Medium,True,13-17
P0405,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,Medium,True,13-17
P0406,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,True,13-17
P0407,Parent,35-44,Want to but struggle,False,No,None,Low,False,13-17
P0408,Parent,45-54,Yes,True,Unsure,Insomnia; Depression,Medium,False,13-17
P0409,Parent,35-44,Yes,True,Unsure,Insomnia; Depression,Medium,True,13-17
P0410,Parent,35-44,Want to but struggle,True,No,None,Medium,False,9-12
P0411,Parent,35-44,Yes,True,No,Eating Disorders; Aggression,Medium,True,13-17
P0412,Parent,35-44,Want to but struggle,False,No,None,Low,True,13-17
P0413,Parent,35-44,Yes,True,No,None,Medium,True,9-12
P0414,Parent,35-44,Yes,True,Unsure,Insomnia; Eating Disorders,High,True,13-17
P0415,Parent,45-54,Yes,False,No,None,Medium,False,13-17
P0416,Parent,55+,Want to but struggle,False,No,Insomnia; Aggression,Low,True,13-17
P0417,Parent,25-34,Yes,True,No,Depression; Aggression,Medium,False,13-17
P0418,Parent,35-44,Yes,False,No,None,Medium,False,9-12
P0419,Parent,45-54,Yes,True,No,Depression,Medium,False,13-17
P0420,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Low,False,13-17
P0421,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P0422,Parent,25-34,Yes,True,No,None,Medium,False,9-12
P0423,Parent,35-44,Yes,True,No,None,High,True,9-12
P0424,Parent,45-54,Yes,False,Unsure,Insomnia,Low,False,13-17
P0425,Parent,35-44,Yes,False,No,Depression,Low,True,9-12
P0426,Parent,35-44,No,True,No,Insomnia; Academic Performance,Low,False,13-17
P0427,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P0428,Parent,35-44,Yes,False,No,Academic Performance,Low,True,9-12
P0429,Parent,45-54,Yes,True,No,Academic Performance,Medium,True,13-17
P0430,Parent,35-44,Yes,True,Unsure,Aggression,High,False,9-12
P0431,Parent,35-44,No,False,No,Insomnia,Medium,True,13-17
P0432,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Depression,Medium,False,13-17
P0433,Parent,35-44,No,True,Unsure,Insomnia,Low,True,9-12
P0434,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,Medium,True,9-12
P0435,Parent,45-54,Want to but struggle,False,Unsure,Depression,Medium,True,13-17
P0436,Parent,35-44,Yes,False,Unsure,Academic Performance; Depression; Eating Disorders,Low,True,13-17
P0437,Parent,35-44,Want to but struggle,False,No,Depression,Low,False,13-17
P0438,Parent,45-54,Want to but struggle,False,Unsure,Aggression,Low,True,13-17
P0439,Parent,45-54,No,True,Unsure,Academic Performance; Aggression,Low,False,9-12
P0440,Parent,45-54,Want to but struggle,True,Unsure,Eating Disorders,Medium,False,9-12
P0441,Parent,45-54,No,False,Unsure,None,Medium,True,13-17
P0442,Parent,55+,Yes,False,Unsure,Depression,Low,True,13-17
P0443,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance; Aggression,Low,True,13-17
P0444,Parent,35-44,Yes,True,No,None,Medium,False,9-12
P0445,Parent,35-44,No,True,Unsure,Depression,Medium,False,9-12
P0446,Parent,25-34,Want to but struggle,True,Unsure,Depression; Eating Disorders,Low,False,13-17
P0447,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P0448,Parent,45-54,Want to but struggle,False,Unsure,Depression,Medium,False,9-12
P0449,Parent,45-54,Want to but struggle,False,Unsure,Academic Performance,Medium,True,13-17
P0450,Parent,35-44,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P0451,Parent,25-34,Want to but struggle,True,No,Academic Performance,Low,False,13-17
P0452,Parent,25-34,Yes,False,No,Insomnia; Academic Performance,Low,True,9-12
P0453,Parent,35-44,Want to but struggle,False,No,None,Medium,True,13-17
P0454,Parent,35-44,Want to but struggle,False,Unsure,Depression; Aggression,Low,True,9-12
P0455,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P0456,Parent,35-44,Want to but struggle,True,Unsure,Depression,Low,True,9-12
P0457,Parent,55+,Want to but struggle,True,Unsure,None,Low,False,9-12
P0458,Parent,45-54,Want to but struggle,False,No,Insomnia; Academic Performance; Depression,Low,False,9-12
P0459,Parent,25-34,Yes,True,No,None,Medium,False,13-17
P0460,Parent,35-44,Yes,True,Unsure,Insomnia,Medium,True,9-12
P0461,Parent,35-44,Yes,False,Unsure,Academic Performance,Medium,False,13-17
P0462,Parent,35-44,Yes,True,No,Insomnia; Eating Disorders,High,True,13-17
P0463,Parent,45-54,Yes,False,No,None,Low,False,13-17
P0464,Parent,45-54,Want to but struggle,False,No,Academic Performance; Eating Disorders,Low,True,9-12
P0465,Parent,35-44,Want to but struggle,True,No,Insomnia,Medium,False,13-17
P0466,Parent,45-54,Yes,False,Unsure,Insomnia; Academic Performance; Depression,Low,False,13-17
P0467,Parent,45-54,Yes,True,Unsure,None,Medium,False,9-12
P0468,Parent,35-44,No,True,Unsure,None,Low,True,13-17
P0469,Parent,45-54,Want to but struggle,False,No,Academic Performance,Low,False,13-17
P0470,Parent,35-44,Want to but struggle,True,Yes,None,Medium,True,13-17
P0471,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance; Depression,Medium,True,9-12
P0472,Parent,35-44,Yes,True,No,None,High,True,9-12
P0473,Parent,25-34,Want to but struggle,True,Unsure,Eating Disorders,Low,False,13-17
P0474,Parent,45-54,Yes,True,Unsure,Academic Performance; Eating Disorders,High,False,9-12
P0475,Parent,55+,Yes,True,No,Insomnia; Academic Performance,High,False,13-17
P0476,Parent,35-44,Want to but struggle,False,No,None,Medium,True,13-17
P0477,Parent,35-44,Yes,False,No,Academic Performance; Depression,Low,True,9-12
P0478,Parent,45-54,No,True,No,Academic Performance,Low,False,9-12
P0479,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance; Depression,Low,False,9-12
P0480,Parent,35-44,Yes,False,Unsure,Depression,Low,False,13-17
P0481,Parent,35-44,No,True,Unsure,Insomnia,Low,False,9-12
P0482,Parent,25-34,Want to but struggle,True,No,Eating Disorders,Low,False,13-17
P0483,Parent,35-44,No,False,Unsure,Academic Performance; Eating Disorders,Medium,False,9-12
P0484,Parent,45-54,Want to but struggle,True,No,None,Low,False,13-17
P0485,Parent,35-44,Yes,False,Unsure,Insomnia; Depression; Aggression,Medium,False,13-17
P0486,Parent,45-54,Want to but struggle,True,Unsure,Insomnia; Academic Performance; Eating Disorders,Low,True,13-17
P0487,Parent,45-54,Want to but struggle,True,No,Insomnia; Eating Disorders; Aggression,Low,True,9-12
P0488,Parent,35-44,Yes,False,Unsure,Depression; Eating Disorders,Low,False,9-12
P0489,Parent,35-44,Want to but struggle,True,Unsure,Academic Performance,Medium,True,13-17
P0490,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,9-12
P0491,Parent,45-54,Yes,True,No,None,High,False,9-12
P0492,Parent,25-34,Yes,False,No,None,Low,False,9-12
P0493,Parent,25-34,No,False,Unsure,Academic Performance,Low,True,13-17
P0494,Parent,45-54,Want to but struggle,True,Unsure,None,Low,True,13-17
P0495,Parent,35-44,Yes,True,Unsure,None,High,True,13-17
P0496,Parent,25-34,Want to but struggle,False,Unsure,Insomnia,Low,False,13-17
P0497,Parent,35-44,Yes,False,No,Academic Performance,Medium,True,13-17
P0498,Parent,35-44,Want to but struggle,False,Unsure,Insomnia,Low,False,13-17
P0499,Parent,35-44,Yes,False,Unsure,Academic Performance,Medium,True,13-17
P0500,Parent,25-34,Want to but struggle,True,No,Depression; Aggression,Low,True,9-12
P0501,Parent,35-44,Yes,True,No,None,Medium,True,13-17
P0502,Parent,35-44,Want to but struggle,False,Unsure,Depression,Low,True,13-17
P0503,Parent,35-44,Yes,True,No,Academic Performance; Eating Disorders,Medium,False,9-12
P0504,Parent,35-44,Yes,True,No,Academic Performance,High,True,13-17
P0505,Parent,45-54,Want to but struggle,True,No,Insomnia; Eating Disorders,Low,True,9-12
P0506,Parent,55+,Want to but struggle,True,No,Depression,Medium,True,13-17
P0507,Parent,35-44,Yes,False,No,None,Medium,False,13-17
P0508,Parent,35-44,Yes,True,Unsure,Academic Performance; Aggression,Medium,False,13-17
P0509,Parent,55+,Want to but struggle,True,No,Insomnia,Low,True,13-17
P0510,Parent,45-54,Yes,True,No,Insomnia,Medium,False,9-12
P0511,Parent,35-44,Yes,True,No,None,Medium,False,13-17
P0512,Parent,35-44,Yes,True,Unsure,Insomnia,High,True,13-17
P0513,Parent,25-34,Yes,False,No,None,Low,True,13-17
P0514,Parent,35-44,Want to but struggle,True,Unsure,None,Medium,False,13-17
P0515,Parent,35-44,Yes,False,Unsure,Insomnia; Academic Performance; Aggression,Low,False,13-17
P0516,Parent,45-54,Want to but struggle,True,No,Academic Performance,Medium,True,13-17
P0517,Parent,35-44,Want to but struggle,True,No,Aggression,Medium,True,13-17
P0518,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance,Low,False,13-17
P0519,Parent,45-54,Yes,False,No,Insomnia,Low,False,13-17
P0520,Parent,55+,Yes,False,No,None,Medium,False,9-12
P0521,Parent,45-54,Want to but struggle,False,No,Insomnia,Low,False,13-17
P0522,Parent,35-44,Yes,False,Unsure,Insomnia; Depression,Low,True,13-17
P0523,Parent,45-54,No,True,Unsure,None,Low,False,13-17
P0524,Parent,45-54,Want to but struggle,True,No,Academic Performance,Medium,False,13-17
P0525,Parent,45-54,Want to but struggle,True,No,Insomnia; Academic Performance,Medium,False,9-12
P0526,Parent,45-54,Want to but struggle,True,Unsure,Academic Performance; Eating Disorders,Low,False,9-12
P0527,Parent,35-44,Yes,False,No,Depression,Low,False,9-12
P0528,Parent,45-54,Want to but struggle,True,Unsure,None,Low,True,13-17
P0529,Parent,25-34,Want to but struggle,True,No,Academic Performance,Low,True,13-17
P0530,Parent,25-34,Yes,False,No,Depression,Low,True,9-12
P0531,Parent,25-34,No,True,No,None,Low,True,13-17
P0532,Parent,45-54,Yes,False,Unsure,None,Medium,True,13-17
P0533,Parent,35-44,Yes,False,No,None,Medium,False,13-17
P0534,Parent,35-44,Want to but struggle,False,Unsure,None,Medium,True,13-17
P0535,Parent,45-54,Yes,True,No,Insomnia; Depression,High,True,13-17
P0536,Parent,35-44,Yes,True,No,Academic Performance,High,False,9-12
P0537,Parent,45-54,Yes,True,No,Insomnia; Academic Performance,High,False,9-12
P0538,Parent,45-54,No,True,Unsure,None,Low,True,13-17
P0539,Parent,55+,Yes,False,No,Insomnia; Academic Performance; Aggression,Low,True,13-17
P0540,Parent,35-44,Yes,False,No,Aggression,Low,False,13-17
P0541,Parent,45-54,Want to but struggle,False,No,Academic Performance,Low,True,9-12
P0542,Parent,35-44,Yes,False,Unsure,None,Low,True,13-17
P0543,Parent,35-44,Yes,False,Unsure,Insomnia; Eating Disorders,Low,False,13-17
P0544,Parent,35-44,Yes,True,No,Depression; Eating Disorders,High,True,9-12
P0545,Parent,45-54,Yes,True,No,Insomnia,Medium,False,13-17
P0546,Parent,45-54,Yes,False,Unsure,None,Low,False,9-12
P0547,Parent,45-54,Yes,True,Unsure,Insomnia; Aggression,Medium,False,13-17
P0548,Parent,35-44,Yes,True,No,Academic Performance; Depression,Medium,True,13-17
P0549,Parent,45-54,Yes,True,Unsure,Insomnia,High,False,13-17
P0550,Parent,35-44,Want to but struggle,True,Unsure,None,Low,True,13-17
P0551,Parent,25-34,Want to but struggle,False,No,Insomnia; Eating Disorders,Low,False,13-17
P0552,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P0553,Parent,35-44,Want to but struggle,True,Unsure,Depression,Medium,True,13-17
P0554,Parent,45-54,No,False,Unsure,None,Low,True,13-17
P0555,Parent,35-44,No,False,No,Depression,Low,True,9-12
P0556,Parent,25-34,Want to but struggle,False,No,Insomnia; Academic Performance,Low,False,13-17
P0557,Parent,35-44,Want to but struggle,False,No,None,Medium,True,13-17
P0558,Parent,35-44,Yes,False,No,None,Medium,True,13-17
P0559,Parent,45-54,No,True,No,None,Low,False,9-12
P0560,Parent,45-54,Yes,False,No,Insomnia,Low,True,13-17
P0561,Parent,35-44,Want to but struggle,True,No,Depression,Medium,True,13-17
P0562,Parent,45-54,Yes,True,No,None,Medium,True,13-17
P0563,Parent,35-44,Want to but struggle,False,No,Academic Performance,Low,True,9-12
P0564,Parent,35-44,No,True,No,None,Low,False,9-12
P0565,Parent,25-34,Yes,False,No,Academic Performance; Depression,Medium,False,9-12
P0566,Parent,35-44,Yes,False,No,Aggression,Low,True,13-17
P0567,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance; Depression,Low,True,13-17
P0568,Parent,35-44,No,False,No,Insomnia; Academic Performance,Medium,True,13-17
P0569,Parent,45-54,Want to but struggle,False,No,None,Low,True,9-12
P0570,Parent,35-44,Yes,False,No,Eating Disorders,Low,True,9-12
P0571,Parent,35-44,Want to but struggle,False,Unsure,Depression,Medium,True,13-17
P0572,Parent,35-44,Yes,True,Unsure,Insomnia; Depression,Medium,False,13-17
P0573,Parent,35-44,Yes,True,Unsure,Insomnia; Academic Performance,High,False,13-17
P0574,Parent,35-44,Want to but struggle,True,No,None,Medium,True,9-12
P0575,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,Medium,False,9-12
P0576,Parent,55+,Yes,False,No,Aggression,Low,True,13-17
P0577,Parent,35-44,Yes,False,No,Insomnia; Depression,Low,True,13-17
P0578,Parent,45-54,Want to but struggle,True,No,None,Medium,True,13-17
P0579,Parent,35-44,Want to but struggle,False,Unsure,Academic Performance,Low,False,9-12
P0580,Parent,35-44,Yes,True,Unsure,Insomnia,Medium,False,13-17
P0581,Parent,35-44,Yes,False,No,Insomnia,Medium,True,13-17
P0582,Parent,35-44,Yes,False,No,Insomnia; Academic Performance,Low,True,13-17
P0583,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance,Medium,True,9-12
P0584,Parent,35-44,Want to but struggle,False,No,Academic Performance,Medium,False,13-17
P0585,Parent,35-44,Yes,True,Unsure,None,Medium,False,13-17
P0586,Parent,45-54,Yes,False,No,Insomnia; Academic Performance; Eating Disorders; Aggression,Medium,False,13-17
P0587,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P0588,Parent,45-54,Yes,False,No,None,Low,False,13-17
P0589,Parent,45-54,Want to but struggle,True,No,Eating Disorders,Low,True,13-17
P0590,Parent,35-44,No,False,No,Aggression,Medium,True,13-17
P0591,Parent,45-54,Yes,True,No,Academic Performance; Eating Disorders; Aggression,Medium,False,9-12
P0592,Parent,35-44,Yes,False,Unsure,Insomnia; Aggression,Low,False,9-12
P0593,Parent,35-44,Yes,False,Unsure,Academic Performance,Low,True,9-12
P0594,Parent,45-54,Want to but struggle,True,Unsure,Insomnia; Academic Performance; Eating Disorders,Low,True,13-17
P0595,Parent,35-44,Yes,True,No,Eating Disorders,Medium,True,13-17
P0596,Parent,55+,Yes,False,Unsure,Academic Performance; Eating Disorders; Aggression,Low,False,13-17
P0597,Parent,25-34,Yes,True,No,None,Medium,False,9-12
P0598,Parent,35-44,Want to but struggle,False,No,Insomnia,Low,False,13-17
P0599,Parent,35-44,No,True,No,Academic Performance,Low,False,13-17
P0600,Parent,35-44,Yes,False,No,Insomnia; Depression,Low,False,13-17
P0601,Parent,25-34,Want to but struggle,True,Unsure,Academic Performance; Depression,Medium,False,9-12
P0602,Parent,45-54,Yes,True,No,Insomnia; Academic Performance,Medium,True,13-17
P0603,Parent,35-44,Want to but struggle,False,Unsure,Insomnia,Low,False,9-12
P0604,Parent,35-44,Yes,True,No,Insomnia; Academic Performance,Medium,True,13-17
P0605,Parent,45-54,Yes,True,No,Eating Disorders,High,False,13-17
P0606,Parent,35-44,Yes,True,Unsure,Depression,Medium,True,13-17
P0607,Parent,45-54,Yes,False,No,None,Low,False,13-17
P0608,Parent,45-54,Yes,False,Unsure,Aggression,Low,False,9-12
P0609,Parent,25-34,Yes,False,No,Eating Disorders,Medium,True,13-17
P0610,Parent,45-54,Yes,False,No,Academic Performance; Depression; Aggression,Medium,True,13-17
P0611,Parent,35-44,Yes,False,Unsure,Insomnia; Depression,Low,True,13-17
P0612,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Medium,True,9-12
P0613,Parent,25-34,Want to but struggle,True,No,Insomnia; Academic Performance,Medium,False,9-12
P0614,Parent,55+,Yes,True,No,Academic Performance,High,False,13-17
P0615,Parent,35-44,No,True,No,Insomnia; Academic Performance; Depression,Low,True,13-17
P0616,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance; Eating Disorders,Low,True,13-17
P0617,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Low,True,13-17
P0618,Parent,35-44,Yes,False,Yes,Depression; Eating Disorders,Medium,True,13-17
P0619,Parent,35-44,Want to but struggle,False,No,Insomnia,Medium,True,9-12
P0620,Parent,35-44,Yes,True,No,None,Medium,True,13-17
P0621,Parent,35-44,Want to but struggle,False,No,Academic Performance; Eating Disorders,Low,True,9-12
P0622,Parent,35-44,Yes,False,Unsure,None,Medium,False,9-12
P0623,Parent,45-54,Want to but struggle,False,Unsure,None,Medium,False,13-17
P0624,Parent,35-44,Yes,True,Unsure,Academic Performance; Aggression,High,False,13-17
P0625,Parent,35-44,Want to but struggle,False,No,Insomnia,Medium,False,13-17
P0626,Parent,45-54,No,False,No,None,Medium,False,13-17
P0627,Parent,45-54,Yes,True,Unsure,Insomnia,Medium,False,13-17
P0628,Parent,35-44,Yes,True,Unsure,Insomnia; Aggression,Medium,True,13-17
P0629,Parent,45-54,Want to but struggle,False,No,Insomnia,Low,False,13-17
P0630,Parent,35-44,Yes,False,No,Insomnia; Academic Performance; Depression,Medium,False,13-17
P0631,Parent,45-54,Want to but struggle,False,No,Insomnia,Medium,False,9-12
P0632,Parent,25-34,Want to but struggle,False,No,Insomnia; Academic Performance; Depression,Medium,False,13-17
P0633,Parent,45-54,Want to but struggle,False,No,Academic Performance,Low,False,13-17
P0634,Parent,35-44,Want to but struggle,True,No,None,Low,True,13-17
P0635,Parent,45-54,Want to but struggle,True,No,Academic Performance,Low,False,13-17
P0636,Parent,45-54,No,True,Unsure,Insomnia,Low,False,13-17
P0637,Parent,45-54,Yes,False,Unsure,Insomnia,Low,True,9-12
P0638,Parent,35-44,Yes,True,No,Academic Performance,Medium,True,13-17
P0639,Parent,35-44,Yes,True,No,None,High,True,13-17
P0640,Parent,35-44,Yes,False,No,None,Medium,False,13-17
P0641,Parent,45-54,Yes,False,No,Insomnia,Low,False,9-12
P0642,Parent,35-44,Want to but struggle,True,Unsure,Eating Disorders,Medium,False,13-17
P0643,Parent,35-44,No,False,Unsure,Insomnia; Academic Performance,Medium,False,13-17
P0644,Parent,35-44,Yes,True,No,Insomnia; Depression; Aggression,Medium,False,13-17
P0645,Parent,35-44,Yes,False,Unsure,Academic Performance; Aggression,Low,True,13-17
P0646,Parent,25-34,Want to but struggle,False,No,Insomnia,Medium,False,13-17
P0647,Parent,35-44,Want to but struggle,True,No,Academic Performance; Depression,Low,True,13-17
P0648,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P0649,Parent,35-44,Want to but struggle,True,Unsure,Aggression,Medium,False,13-17
P0650,Parent,35-44,Yes,False,Unsure,None,Low,False,9-12
P0651,Parent,35-44,Yes,False,Yes,Insomnia,Medium,False,13-17
P0652,Parent,45-54,No,False,No,Insomnia,Medium,True,13-17
P0653,Parent,35-44,Want to but struggle,True,No,Aggression,Medium,False,9-12
P0654,Parent,45-54,Want to but struggle,True,No,None,Medium,False,13-17
P0655,Parent,35-44,Yes,True,No,Academic Performance,Medium,False,13-17
P0656,Parent,35-44,Want to but struggle,True,No,Insomnia; Depression,Medium,False,13-17
P0657,Parent,35-44,Yes,True,No,Aggression,Medium,True,13-17
P0658,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Medium,True,9-12
P0659,Parent,25-34,Yes,True,Unsure,Insomnia; Academic Performance; Depression,Medium,True,9-12
P0660,Parent,35-44,Yes,True,No,None,Medium,True,9-12
P0661,Parent,45-54,Yes,True,No,Depression,Medium,False,13-17
P0662,Parent,35-44,Yes,False,No,None,Low,True,13-17
P0663,Parent,35-44,Want to but struggle,False,No,Academic Performance; Depression,Low,False,13-17
P0664,Parent,45-54,Yes,True,No,Insomnia,High,True,13-17
P0665,Parent,25-34,Yes,True,Unsure,None,High,False,13-17
P0666,Parent,45-54,Yes,False,No,None,Low,True,13-17
P0667,Parent,45-54,Want to but struggle,False,No,Insomnia,Low,False,13-17
P0668,Parent,35-44,Want to but struggle,False,No,Insomnia; Academic Performance; Depression,Low,True,9-12
P0669,Parent,45-54,Yes,False,No,Insomnia; Academic Performance,Low,False,9-12
P0670,Parent,35-44,Yes,False,Yes,None,Low,True,13-17
P0671,Parent,35-44,Yes,False,No,Academic Performance; Depression,Low,False,13-17
P0672,Parent,35-44,Yes,False,Unsure,Academic Performance,Low,True,9-12
P0673,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance; Depression,Medium,True,13-17
P0674,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P0675,Parent,35-44,Yes,True,Unsure,None,Medium,True,13-17
P0676,Parent,45-54,Want to but struggle,True,No,Academic Performance,Low,False,13-17
P0677,Parent,45-54,Want to but struggle,False,Unsure,None,Low,False,13-17
P0678,Parent,35-44,Yes,True,No,Insomnia,High,False,13-17
P0679,Parent,35-44,Want to but struggle,True,Unsure,Insomnia; Academic Performance,Medium,False,9-12
P0680,Parent,25-34,Want to but struggle,True,Unsure,Depression,Low,False,9-12
P0681,Parent,35-44,Yes,True,No,None,High,True,13-17
P0682,Parent,35-44,Want to but struggle,False,No,Eating Disorders,Low,True,13-17
P0683,Parent,45-54,Yes,False,No,Insomnia; Eating Disorders,Medium,False,9-12
P0684,Parent,35-44,Yes,True,No,Academic Performance; Eating Disorders,Medium,False,13-17
P0685,Parent,35-44,Yes,False,Unsure,Insomnia,Medium,False,13-17
P0686,Parent,25-34,No,True,Unsure,Academic Performance; Eating Disorders,Low,False,9-12
P0687,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance,Low,True,13-17
P0688,Parent,25-34,Yes,True,Unsure,Depression,Medium,True,13-17
P0689,Parent,35-44,Want to but struggle,True,No,Insomnia,Low,True,9-12
P0690,Parent,45-54,Yes,False,No,None,Low,False,13-17
P0691,Parent,45-54,Yes,True,No,None,High,True,9-12
P0692,Parent,35-44,Yes,False,Unsure,Insomnia,Low,False,13-17
P0693,Parent,35-44,No,True,No,None,Medium,False,13-17
P0694,Parent,35-44,Want to but struggle,False,Unsure,Aggression,Low,True,13-17
P0695,Parent,45-54,Yes,True,Unsure,None,High,False,9-12
P0696,Parent,35-44,Want to but struggle,True,No,Insomnia; Academic Performance,Low,True,13-17
P0697,Parent,35-44,Yes,False,No,None,Medium,False,13-17
P0698,Parent,35-44,Want to but struggle,True,Unsure,Insomnia,Low,False,13-17
P0699,Parent,45-54,Want to but struggle,True,No,None,Low,True,9-12
P0700,Parent,25-34,Want to but struggle,True,No,Depression,Medium,True,13-17
P0701,Parent,25-34,Yes,True,No,Depression; Eating Disorders,Medium,False,13-17
P0702,Parent,35-44,Yes,True,No,None,High,True,13-17
P0703,Parent,45-54,Yes,False,No,Depression; Aggression,Low,False,13-17
